Permit Type,Agency,Division,Permit/License Name,Form Title,Form PDF,L123 Description,Department Description,Description Link,Biz Portal Description,Application Fee,License Fee,Renewal Fee,Time Frame,"Industry or Sector (as in Lic123: e.g. automotive, consulting, education, food and drink, business services)","Business Types_Level 1 (e.g. cafe, design studio, ",Requirements Link,Tag,Tasks,Notes:,
SF,Arts Commission,,Street Artist Licensing/Street Artist Certificate,Application for Certification Street Artist or Craftsperson ,http://www.sfartscommission.org/street_artists_program/licensing/street_artists_application.pdf,License123 Description Unknown,"Since 1972, the Street Artists Program, under the direction of the San Francisco Arts Commission, has encouraged talented artists by licensing them to sell their work on the city’s bustling streets. Anyone wishing to sell their work through the program must obtain a certificate to do so.",http://www.sfartscommission.org/street_artists_program/index.html,Allows you to sell handmade art on San Francisco city streets.,$20,$170 quarterly OR $679 for one year,$170 quarterly OR $679 for one year,Those artists who are not prepared for same-day licensing are allowed up to fifteen (15) working days after the initial screening (Last Thursday of every month) to obtain their Street Artist Certificate to avoid a repeat of the screening process.,,Street Artist,http://www.sfartscommission.org/street_artists_program/licensing/index.html,,,,
SF,County Clerk,,Fictitious Business Name,Ficticious Business Name Statement,http://www.sfgov2.org/ftp/uploadedfiles/countyclerk/Forms/FBNS.pdf,No License123 Description,"The fictitious business name statement shall be filed with the county clerk of the county in which the registrant has his or her principal place of business in this state or, if the registrant has no place of business in this state, with the Clerk of Sacramento County. Nothing in this chapter shall preclude a person from filing a fictitious business name statement in a county other than that where the principal place of business is located, as long as the requirements of this subdivision are also met.",http://www.sfgov2.org/index.aspx?page=33,"Allows you to ""Do Business As"" a name other than your given name, eg. the title of your business. ",http://www.sfgov2.org/index.aspx?page=42,$47+,N/A,At least 30 days,,All,,,,,
SF,County Clerk,,Fictitious Business Name,Statement of Withdrawal from the Partnership Operating Under Use of Ficticious Business Name,http://www.sfgov2.org/ftp/uploadedfiles/countyclerk/Forms/FBNSWP.pdf,No License123 Description,No Department Description,N/A,,N/A,N/A,N/A,At least 30 days,,All,,,,,
SF,County Clerk,,Fictitious Business Name,Statement of Abandonment of Use of Ficticious Business Name,http://www.sfgov2.org/ftp/uploadedfiles/countyclerk/Forms/FBNSA.pdf,No License123 Description,"Upon ceasing to transact business in this state under a fictitious business name that was filed in the previous five years, a person who has filed a fictitious business name statement shall file a statement of abandonment of use of fictitious business name. The statement shall be executed in the same manner as a fictitious business name statement and shall be filed with the county clerk of the county in which the person has filed his or her fictitious business name statement. The statement shall be published in the same manner as a fictitious business name statement and an affidavit showing its publication shall be filed with the county clerk after the completion of publication. (CA Business & Professions Code Sec. 17922)",http://www.sfgov2.org/index.aspx?page=34,Cancels your Ficticious Business Name with the county if you decide to close your buiness or change business name.,N/A,N/A,N/A,At least 30 days,,All,,,,,
SF,Contract Monitoring Division,,Local Business Enterprise (LBE) Certification,LBE Certification,http://sfgsa.org/modules/showdocument.aspx?documentid=9831,No License123 Description,"The Contact Monitoring Division (CMD) enforces the requirements of the 14B Ordinance. The Certification Unit is charged with certifying firms that meet the requirements of the 14B Ordinance. This Ordinance is intended to improve the ability of certified firms to compete effectively in the award of City Contracts. Although certification is not required for bidding on City contracts, certified firms can compete more effectively on City contracts because the Contract Compliance Unit (CCO) of the Contract Monitoring Division sets goals on most City contracts, these goals are met by listing only Certified firms. Certified firms receive ""bid discounts"" or ""rating bonus points"" when bidding as Primes, and there are certain contracts that are set aside for bidding by Micro certified firms. To receive these benefits, firms must be certified at time of bid or proposal due date. Presently,there are over 1,400 firms actively certified by CMD in over 270 unique certification categories. Local Business Enterprise (“LBE”) Certification: LBE certification is available only to businesses with a primary place of business in San Francisco.",http://sfgsa.org/index.aspx?page=6129,Gives your business preference when bidding on certain contracts with the San Francisco city government.,None,None,N/A,Unknown,,Any local business,,,,,
SF,Contract Monitoring Division,,Local Business Enterprise (LBE) Re-Certification ,LBE Re-Certification,http://sfgsa.org/modules/showdocument.aspx?documentid=9831,No License123 Description,No Department Description,N/A,"Re-certifies your business to do business with the City of San Francisco, giving you preference when bidding on certain contracts.",None,None,N/A,Unknown,,,,Any local business,,,
SF,Contract Monitoring Division,,PUC Local Business Enterprise (PUC-LBE) Certification,PUC-LBE Certification,http://sfgsa.org/modules/showdocument.aspx?documentid=9827,No License123 Description,No Department Description,N/A,"If you do business in the Hetch-Hetchy Watershed, this certification gives you preference when bidding on certain contracts with the San Francisco Public Utilities Commission (PUC).",None,None,N/A,Unknown,,,,Any business within the Hetch Hetchy watershed,,,
SF,Contract Monitoring Division,,PUC Local Business Enterprise (PUC-LBE) Re-Certification,PUC-LBE Re-Certification,http://sfgsa.org/modules/showdocument.aspx?documentid=9826,No License123 Description,No Department Description,N/A,"Re-certifies you to do business with the San Francisco Public Utilities Commission (PUC), giving you preference when bidding on certain contracts.",None,None,N/A,Unknown,,,,Any business within the Hetch Hetchy watershed,,,
SF,Contract Monitoring Division,,Non-Profit Enterprise (NPE) Certification,NPE Certification,http://sfgsa.org/Modules/ShowDocument.aspx?documentID=9829,No License123 Description,"Pursuant to the San Francisco Administrative Code Chapter 14B Local Business Enterprise and Non-Discrimination in Contracting Ordinance and accompanying Rules and Regulations, a business contracting with the City and County of San Francisco may be eligible for one of three types of certification: LBE certification, PUC-LBE Certification and NPE certification. The purpose of each certification is to promote the utilization and participation of local businesses with respect to City contracts. Specifically, certified businesses benefit from bid discounts, sub-contracting goals and micro-set asides that are set for most City contracts. To receive these benefits, a business must be certified with the San Francisco Human Rights Commission prior to the submittal of a bid or proposal. The main requirements for NPE certification are summarized below. ",http://www.sfgsa.org/ftp/HRC_for_GSA/uploadedfiles/hrc/Local_Business_Enterprise/LBE_PUC-LBE_and_NPE_CERTIFICATION_REQUIREMENTS/NPE_Certification_d695.pdf,Gives your non-profit preference when bidding on certain contracts with the San Francisco city government.,None,None,N/A,Unknown,,Any local non-profit,,,,,
SF,Contract Monitoring Division,,Non-Profit Enterprise (NPE) Re-Certification,NPE Re-Certification,http://sfgsa.org/modules/showdocument.aspx?documentid=9828,No License123 Description,No Department Description,N/A,"Re-certifies your non-profit to do business with the City of San Francisco, giving you preference when bidding on certain contracts.",None,None,N/A,Unknown,,Any local non-profit,,,,,
