Permit,Short Description,Info Link Title,Info Link,Information ,Business Type(s),Tag(s),Issuing Department(s),Agency Type,Cost Amount,Cost Link Title,Cost Link,Access Online Name,Access Online Link,Form Name 1,Form Link 1,Form Name 2,Form Link 2,Form Name 3,Form Link 3,Form Name 4,Form Link 4,Form Name 5,Form Link 5,Form Name 6,Form Link 6,Form Name 7,Form Link 7,Form Name 8,Form Link 8,Form Name 9,Form Link 9,Form Name 10,Form Link 10,Form Name 11,Form Link 11,Form Name 12,Form Link 12,Form Name 13,Form Link 13,Form Name 14,Form Link 14,Form Name 15,Form Link 15,Form Name 16,Form Link 16
Dog Walking Permit,"Required for an idividual to walk 4 or more dogs (limited to 8 dogs total) at any one time, on public property.",Learn more about becoming a commercial dog walker in San Francisco.,http://www.sfgov2.org/index.aspx?page=3857,"Commercial dog walkers must meat each the following five requirements.

1. Have a registered business license as a dog walker with proof that you have been doing business for 3 or more consecutive years; OR be employed as a dog walker at a registered dog walking business with proof of employment for 3 or more years; OR have completed training that meets the listed requirements and have a valid San Francisco business license.

2. Obtain a Dog Walker Permit.

3. Have proof of $1 million general liability insurance.

4. Have all vehicles used to transport dogs inspected and approved by San Francisco Animal Care & Control.

5. Comply with all CCSF Health and Safety rules and regulations for dog walkers, including leash length requirements, canine waste dispsal, and availability of safety equipment,",Dog Walking,Dog Walker,Animal Care and Control,,"Initial Fee: $240
Annual Renewal Fee: $100",,,,,Application for Commercial Dog Walker Permit,http://www.sfgov2.org/Modules/ShowDocument.aspx?documentid=1391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coating and Solvent Permit - Metal,"Authorizes operation of a business that uses metal coating chemicals, which can evaporate and/or contaminate air quiality. ",Learn more about business permitting from the Bay Area Air Quality Management District (BAAQMD).,http://www.baaqmd.gov/Work.aspx,,,,Bay Area Air Quality Management District,City,,,,,,Bay Area Quality Management District Coating and Solvent Permit,http://www.baaqmd.gov/~/media/Files/Engineering/Forms/Permit%20Application/s_surface_coating_solvent_source.ashx?la=en,Instructions for Application for Authority to Construct/Permit to Operate,http://www.baaqmd.gov/~/media/Files/Engineering/Forms/Permit%20Application/p101b_instructions.ashx?la=en,Bay Area Solvent Coating Permit Application - Cleaning,http://www.baaqmd.gov/~/media/Files/Engineering/Forms/Permit%20Application/sc_solvent_cleaning_ops.ashx?la=en,Coater Data Worksheet,http://www.baaqmd.gov/~/media/Files/Engineering/Forms/Permit%20Application/cd_coater_data_worksheet.ashx?la=en,,,,,,,,,,,,,,,,,,,,,,,,
Business Registration Certificate,Basic City business registration required for all businesses who wish to operate in San Francisco.,Learn more registering your business with TTX.,http://sftreasurer.org/business-registration?page=22,"Business Registration Certificates are issued on an annual basis and are valid for the City's fiscal year calendar, beginning on July 1st, and ending June 30th of the following year.

Any entity conducting business in San Francisco must submit a Business Tax Registration application within 15 days of starting business. Failure to do so will result in a late penalty equal to the amount of the original fee(s) plus an administrative fee(s) of either $55 (for businesses whose annual registration fee is $150 or higher) or $25 (for businesses who are eligible to pay the minimum $25 registration fee).

Existing business owners must renew their registration each year by the deadline of May 31 for the upcoming fiscal year starting July 1.

All new businesses must complete a business registration form to obtain a Business Registration Certificate. The completed form and registration fees can be submitted, in person or via mail, to the Office of the Treasurer & Tax Collector.

",Auto Body & Paint Shop*Auto Dealer*Auto Detailing*Auto/Motorcycle Mechanic*Brake & Tire Shop*Smog Check Facility*Towing Company*Parking Lots & Garages*Auto Wrecker*Child Care Services*Adult Day Care*Assisted Living Facility*Elder Care Services*Home Health Agency*General Building Contractor*General Engineering Contractor*Specialty Contractor*Nightclub*Bowling Alley*Bar*Alcohol/Beer & Wine Distributor*Alcohol/Beer & Wine Importer*Alcohol/Beer & Wine Wholesaler*Bakery*Cafe or Deli*Candy Store*Caterer*Chocolatier*Corner Store*Farmer's Market Booth*Food Manufacturing*Grocery Market*Ice Cream Shop*Mobile Food Truck*Winery*Vending Machines*Restaurant*Dentist Office*Doctor's Office*Health Clinic*Medical Device Sales*Medical Marijuana Dispensary*Medical Transport*Pharmacy*Skilled Nursing Facility*Food Manufacturing*Animal Food Manufacturing*Clothing & Apparel Manufacturing*Jewelry Manufacturing*Cleaning Business*Dog Walking*Laundry/Dry Cleaning*Gym & Yoga Studio*Hair/Nail Salon*Personal Trainer*Tattoo & Piercing Parlor*Massage Establishment*Pet Sitting*Dog Kennel*Dog Walking*Pet Hospital*Pet Shop*Security Services*Recycling Business*Junk Dealer/Junkyard*Accounting Service*Appliance Repair & Service*Electronics & Computer Repair*Educational Consulting*Employment/Staffing Agency*Event & Wedding Planning*Financial Advisor*Graphic/Web Design*Law Firm*Modeling/Talent Agency*Payroll Services*Software Developer*Advertising Agency*Architectural Consultant*Art Consultant*Business Consultant*Engineering Consultant*IT Consultant*Marketing Consultant*Broker Dealer *Insurance Agency/Broker*Escrow Agency*Home Inspection*Real Estate Agency*Residential Leasing*Photography*Landlord*Online Retailer*Antique Shop*Art Gallery*Book Store*Bicycle Shop*Clothing Store*Electronic Sales*Florist*Furniture Store*Jeweler*Print & Photocopy Shop*General Retail*Street Artist*Pawn Shop*Tobacco Sales*Commercial Transportation/Trucking*Hazardous Materials Transportation*Shipping*Pedicab*Import/Export*Airport Passenger Transportation*Limousine Services*Taxi Company*Valet Parking*Vehicle Rental*Travel Company*Tour Company*Bed & Breakfast*Hotel,Business License,Office of the Treasurer & Tax Collector,City,,Registration Fees,http://sftreasurer.org/business-registration?page=22#2,,,Business Registration Certificate Application,http://sftreasurer.org/sites/sftreasurer.org/files/migrated/FileCenter/Documents/Business_Zone/RGconsolidatedapp..pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Certificate of Authority (COA) to Collect Transient Occupancy Tax,Hotels in San Francisco are required to obtain a Certificate of Authority (COA) to collect Transient Occupancy taxes. The COA authorizes the operator to collect the tax. ,Learn more about applying for the Certificate of Authority from TTX.,http://sftreasurer.org/sites/sftreasurer.org/files/migrated/ftp/uploadedfiles/tax/business_zone/CertificateofAuthoritytoCollectTOTApplicationInstructions.pdf,"Every hotel operator is required to obtain a Certificate of Authority (COA) to Collect Transient Occupancy 
Taxes from the City and County of San Francisco for each hotel location. The COA authorizes the operator to 
collect the transient occupancy tax from the guest. The San Francisco Municipal Code requires each hotel 
operator in the City and County of San Francisco to collect the transient occupancy tax (hotel tax) on any rent, 
fee or charge in exchange for occupancy of hotel room. The occupancy tax rate is 14% of the rent for the 
occupancy of a hotel room. 
 
A COA is issued for each hotel location, and has the same certificate number and business name as the 
business registration certificate. The certificate number is used for filing, account services, and payment 
references. Both the COA and business registration certificate must be prominently posted on the premises of 
each hotel location. ",Hotel*Bed & Breakfast,Motel*Hostel*Youth Hostel,Office of the Treasurer & Tax Collector,City,,,,,,Certificate of Authority (COA) Application to Collect Transient Occupancy Tax,http://sftreasurer.org/sites/sftreasurer.org/files/migrated/ftp/uploadedfiles/tax/business_zone/HotelCertificateofAuthorityApplication.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Artist Certificate,Allows you to sell handmade art on designated San Francisco city streets,,,"A certificate (license) will be issued after the applicant has been approved by the advisory committee, has paid the fee, and has shown the following documents to Program staff:

1. Business Tax Registration Certificate: This must be obtained in San Francisco at the Tax Collector’s office.
2. Seller’s Permit: This may be obtained from the State Board of Equalization. There is no fee for this permit. Visit www.boe.ca.gov to register.
3. One color photograph of the artist no larger than the size of a passport photo, and preferably the size of a driver’s license photo. This photo may be e-mailed to the Street Artists Program office at street.artists@sfgov.org.

Pay quarterly or annually", Street Artist,Crafts*Street Vendor*Peddler,SF Arts Commission,City,"$170 quarterly or
 $679 annually",,,,,Application for Certification Street Artist or Craftsperson,http://www.sfartscommission.org/street_artists_program/licensing/street_artists_application.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Business Enterprise (LBE) Certification,"Gives businesses, whose primary place of business is in San Francisco, preference when bidding on certain contracts with the San Francisco city government.",Contract Monitoring Division submittal instructions.,http://sfgsa.org/modules/showdocument.aspx?documentid=10863,"To apply for this certification online, you must create an account in the LBE Certification System.

To submit a hardcopy application, the application form MUST BE MAILED OR HAND DELIVERED WITH ALL SUPPORTIVE DOCUMENTATION. ",,Small Business Certification*Small Business Cerficate*City Vendor*City Contracts*Doing Business with City Government*Government Contracts*Local Business Certification,SF Contract Monitoring Division,City,,N/A,,LBE Online Certification System,http://www.sfgsa.org/index.aspx?page=6130,LBE Certification Application,http://sfgsa.org/modules/showdocument.aspx?documentid=9831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Business Enterprise (LBE) Re-Certification,"This re-certifies businesses, whose primary place of business is in San Francisco, to continue receiving a preference when bidding on certain contracts with the San Francisco city government.",Contract Monitoring Division submittal instructions.,http://sfgsa.org/modules/showdocument.aspx?documentid=10863,"To apply for this re-certification online, you must create an account in the LBE Certification System.

To submit a hardcopy application, the application form MUST BE MAILED OR HAND DELIVERED WITH ALL SUPPORTIVE DOCUMENTATION.",,Small Business Certification*Small Business Certificate*City Vendor*City Contracts*Doing Business with City Government*Government Contracts*Local Business Certification,SF Contract Monitoring Division,City,,N/A,,LBE Online Certification System,http://www.sfgsa.org/index.aspx?page=6130,LBE Re-Certification Application,http://sfgsa.org/modules/showdocument.aspx?documentid=9830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUC Local Business Enterprise (PUC-LBE) Certification,"If you are a licensed contractor, construction materials supplier, or trucker/hauler that does business in the Hetch-Hetchy Watershed, this certification gives you preference when bidding on certain contracts with the SF Public Utilities Commission (PUC).",Contract Monitoring Division submittal instructions.,http://sfgsa.org/modules/showdocument.aspx?documentid=10863,"To apply for this certification online, you must create an account in the LBE Certification System.

To submit a hardcopy application, the application form MUST BE MAILED OR HAND DELIVERED WITH ALL SUPPORTIVE DOCUMENTATION. ",General Building Contractor*General Engineering Contractor*Specialty Contractor*Commercial Transportation/Trucking*Hazardous Materials Transportation*Shipping,Small Business Certification*City Vendor*City Contracts*Doing Business with City Government*Government Contracts*Local Business Certification*Small Business Certificate,SF Contract Monitoring Division,City,,N/A,,LBE Online Certification System,http://www.sfgsa.org/index.aspx?page=6130,PUC-LBE Certification Application,http://sfgsa.org/modules/showdocument.aspx?documentid=9827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUC Local Business Enterprise (PUC-LBE) Re-Certification,"If you are a licensed contractor, construction materials supplier, or trucker/hauler that does business in the Hetch-Hetchy Watershed, this re-certifies you to receive preference when bidding on certain contracts with the San Francisco Public Utilities Commission (PUC).",Contract Monitoring Division submittal instructions.,http://sfgsa.org/modules/showdocument.aspx?documentid=10863,"To apply for this re-certification online, you must create an account in the LBE Certification System.

To submit a hardcopy application, the application form MUST BE MAILED OR HAND DELIVERED WITH ALL SUPPORTIVE DOCUMENTATION. ",General Building Contractor*General Engineering Contractor*Specialty Contractor*Commercial Transportation/Trucking*Hazardous Materials Transportation*Shipping,Small Business Certification*City Vendor*City Contracts*Doing Business with City Government*Government Contracts*Local Business Certification*Small Business Certificate,SF Contract Monitoring Division,City,,N/A,,LBE Online Certification System,http://www.sfgsa.org/index.aspx?page=6130,PUC-LBE Re-Certification Application,http://sfgsa.org/modules/showdocument.aspx?documentid=9826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Profit Enterprise (NPE) Certification,Gives your non-profit preference when bidding on certain contracts with the San Francisco city government.,Contract Monitoring Division submittal instructions.,http://sfgsa.org/modules/showdocument.aspx?documentid=10863,"To apply for this certification online, you must create an account in the LBE Certification System.

To submit a hardcopy application, the application form MUST BE MAILED OR HAND DELIVERED WITH ALL SUPPORTIVE DOCUMENTATION. ",,Non Profit Certification*City Vendor*City Contracts*Doing Business with City Government*Government Contracts*Local Non-Profit Certification*Nonprofit Certificate,SF Contract Monitoring Division,City,,N/A,,LBE Online Certification System,http://www.sfgsa.org/index.aspx?page=6130,NPE Certification Application,http://sfgsa.org/Modules/ShowDocument.aspx?documentID=9829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
